domain,ttl,ip_count,ns_count,label
gdlp.dhfmgci.cn,180.0,12,4,1
kwr.dhfmgci.cn,180.0,12,4,1
korf.dhfmgci.cn,180.0,12,4,1
rrm.dhfmgci.cn,84.0,13,4,1
rrzy.dhfmgci.cn,180.0,12,4,1
koqp.dhfmgci.cn,180.0,12,4,1
rcsd.dhfmgci.cn,180.0,12,4,1
rhhb.dhfmgci.cn,180.0,12,4,1
ryz.dhfmgci.cn,180.0,12,4,1
roep.dhfmgci.cn,180.0,12,4,1
rie.dhfmgci.cn,180.0,12,4,1
rzl.dhfmgci.cn,180.0,12,4,1
rjxm.dhfmgci.cn,176.0,12,4,1
rig.dhfmgci.cn,180.0,13,4,1
rfth.dhfmgci.cn,180.0,12,4,1
rjzc.dhfmgci.cn,180.0,12,4,1
rgue.dhfmgci.cn,180.0,12,4,1
rroh.dhfmgci.cn,180.0,12,4,1
rghf.dhfmgci.cn,168.0,12,4,1
rgg.dhfmgci.cn,180.0,12,4,1
rbg.ziiwige.cn,180.0,12,4,1
rnbm.ziiwige.cn,180.0,12,4,1
kmy.ziiwige.cn,180.0,10,4,1
syc.ziiwige.cn,180.0,11,4,1
kmz.ziiwige.cn,180.0,12,4,1
slzz.ziiwige.cn,180.0,12,4,1
skv.ziiwige.cn,180.0,12,4,1
sznt.ziiwige.cn,180.0,12,4,1
skix.ziiwige.cn,180.0,10,4,1
shjj.ziiwige.cn,172.0,12,4,1
suoz.ziiwige.cn,180.0,11,4,1
swqr.ziiwige.cn,180.0,13,4,1
kieu.ziiwige.cn,180.0,12,4,1
kwmi.ziiwige.cn,180.0,12,4,1
kggq.ziiwige.cn,180.0,12,4,1
kbfn.ziiwige.cn,170.0,12,4,1
ruo.ziiwige.cn,173.0,12,4,1
rsyt.ziiwige.cn,129.0,12,4,1
kkzv.ziiwige.cn,180.0,11,4,1
kgwi.ziiwige.cn,180.0,12,4,1
rskm.ziiwige.cn,98.0,10,4,1
rob.ziiwige.cn,156.0,11,4,1
robm.ziiwige.cn,112.0,12,4,1
rbrv.ziiwige.cn,180.0,12,4,1
ktd.ziiwige.cn,180.0,12,4,1
kax.ziiwige.cn,180.0,13,4,1
knp.ziiwige.cn,180.0,12,4,1
kmw.ziiwige.cn,180.0,12,4,1
kvcc.ziiwige.cn,180.0,11,4,1
ksy.ziiwige.cn,88.0,12,4,1
kgry.ziiwige.cn,79.0,12,4,1
kjbc.ziiwige.cn,180.0,12,4,1
kehq.ziiwige.cn,110.0,13,4,1
kkl.ziiwige.cn,180.0,12,4,1
kcu.dfmciii.cn,180.0,13,4,1
kyqq.dfmciii.cn,180.0,12,4,1
knvv.dfmciii.cn,180.0,10,4,1
kxus.dfmciii.cn,180.0,12,4,1
kbt.dfmciii.cn,180.0,12,4,1
klkn.dfmciii.cn,180.0,13,4,1
ktg.dfmciii.cn,180.0,12,4,1
kng.dfmciii.cn,180.0,11,4,1
kdo.dfmciii.cn,180.0,10,4,1
raz.dfmciii.cn,180.0,13,4,1
rutr.dfmciii.cn,180.0,10,4,1
reu.dfmciii.cn,180.0,12,4,1
rrv.dfmciii.cn,180.0,12,4,1
gqje.dfmciii.cn,180.0,12,4,1
ggo.dfmciii.cn,180.0,12,4,1
kwu.dfmciii.cn,180.0,12,4,1
kcva.dfmciii.cn,180.0,10,4,1
rwk.dfmciii.cn,180.0,11,4,1
rlyf.dfmciii.cn,180.0,13,4,1
riud.dfmciii.cn,180.0,12,4,1
rnda.dfmciii.cn,180.0,12,4,1
rbc.dfmciii.cn,111.0,12,4,1
rfg.dfmciii.cn,180.0,12,4,1
